,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,конец,аналитик,вакансия,второй,язык,достаточно,хотеть,программа,курс,деньги,основа,выбирать,интересный,молодец
1,вроде,работать,модель,собес,посоветовать,понимание,реально,конец,человек,сказать,приходить,статистика,полезно,весь
2,работать,жизнь,получать,любить,хотеть,собеседование,плюс,классный,ждать,либо,канал,образование,твой,место
3,теория,правда,рабочий,минута,здравствовать,джуна,нужно,рассказывать,мочь,программирование,направление,аналитик,ролик,немного
4,вопрос,заниматься,сфера,вообще,курсы,пойти,пара,подписываться,посмотреть,язык,день,мочь,полезный,друг
5,именно,направление,находить,готовый,проходить,интересный,учиться,интересно,полезный,очень,задача,язык,информация,вода
6,минута,второй,день,профессия,начинать,программист,высокий,очень,хороший,сразу,машинный,математика,видео,интервью
7,отвечать,команда,время,зарплата,подсказывать,далеко,дело,удача,очень,который,вероятность,видос,очень,вопрос
8,задача,данный,работать,путь,пожалуйста,давать,вообще,понравиться,спасибо,человек,книга,становиться,большой,ролик
9,понимать,писать,работа,просто,курс,простой,деньги,канал,видео,говорить,обучение,дата,спасибо,делать
